MAE,RMSE,R2,fold,AoA,Mach,model
0.036723425565937766,0.05145444628691666,0.9918901609601866,75,2.0,0.72,Neural network
0.05557279121793433,0.0827732337988734,0.979633633357883,76,2.0,0.74,Neural network
0.0226850344464866,0.029508136862842867,0.9972726824860308,77,2.0,0.76,Neural network
0.03301132101863095,0.043070050554411494,0.993302042988293,78,2.0,0.78,Neural network
0.03555617655244732,0.055827055235882724,0.9926453966575122,79,20.0,0.68,Neural network
0.029154006137916428,0.05288677947209004,0.9935250645218711,80,20.0,0.7,Neural network
0.028544139068994123,0.044993678712187624,0.9954179862550427,81,20.0,0.72,Neural network
0.03159394624513592,0.05098690425310349,0.9942705559003976,82,20.0,0.74,Neural network
0.028757441084869096,0.05204182515393413,0.9942144579646158,83,20.0,0.76,Neural network
0.033442765891655596,0.055522150114504044,0.993657228945242,84,20.0,0.78,Neural network
0.04993697013976875,0.07911834099682213,0.9868015387139952,85,3.0,0.68,Neural network
0.05887916041477756,0.0961881310531477,0.9810309820926422,86,3.0,0.7,Neural network
0.07064796021748476,0.09399375419768431,0.9819059737928361,87,3.0,0.72,Neural network
0.03588346347773505,0.04756674790504788,0.9949744107959282,88,3.0,0.74,Neural network
0.04654189457030213,0.06248946984424554,0.9895779973071702,89,3.0,0.76,Neural network
0.04787101893282684,0.0705247526883887,0.9838998214088295,90,3.0,0.78,Neural network
0.04861344855389583,0.08244090428773519,0.9901627650714329,91,4.0,0.68,Neural network
0.04064190663984139,0.07140204356972436,0.992433161490216,92,4.0,0.7,Neural network
0.0569510433353126,0.08183231427383855,0.9890926518183065,93,4.0,0.72,Neural network
0.023244899514262677,0.03364812342071712,0.9977844244554496,94,4.0,0.74,Neural network
0.020896969852465367,0.03093518522903971,0.9977079090966399,95,4.0,0.76,Neural network
0.03721234870366125,0.053701532774211,0.9917797076425902,96,4.0,0.78,Neural network
0.0610103897556199,0.0964646863167543,0.9893857447431984,97,5.0,0.68,Neural network
