fold,AoA,NN_MAE,NN_RMSE,NN_R2,RF_MAE,RF_RMSE,RF_R2,RMSE_gap_NN_minus_RF,winner
10,1.0,0.025380782887729148,0.03955065962139178,0.9933014318766668,0.0179929747023427,0.0305270590940354,0.9956916890127018,0.00902360052735638,Random forest tuned
11,1.0,0.017901643497727934,0.02651015043049499,0.9971624108722597,0.0245221364331558,0.0497806445103823,0.989388041408681,-0.023270494079887308,Neural network
11,1.0,0.017901643497727934,0.02651015043049499,0.9971624108722597,0.0179929747023427,0.0305270590940354,0.9956916890127018,-0.00401690866354041,Neural network
11,1.0,0.017901643497727934,0.02651015043049499,0.9971624108722597,0.0086133920997363,0.0147743029352796,0.9989293432973602,0.01173584749521539,Random forest tuned
11,1.0,0.017901643497727934,0.02651015043049499,0.9971624108722597,0.0151335073267849,0.0214345896071141,0.9976319769762314,0.005075560823380891,Random forest tuned
9,1.0,0.019893019967185767,0.025733584396332738,0.9969384759519598,0.0283110466231093,0.0439021468873986,0.992217902921046,-0.018168562491065864,Neural network
9,1.0,0.019893019967185767,0.025733584396332738,0.9969384759519598,0.0493612870327139,0.0714918921030679,0.9792038593324452,-0.04575830770673517,Neural network
10,1.0,0.025380782887729148,0.03955065962139178,0.9933014318766668,0.0151335073267849,0.0214345896071141,0.9976319769762314,0.01811607001427768,Random forest tuned
10,1.0,0.025380782887729148,0.03955065962139178,0.9933014318766668,0.0086133920997363,0.0147743029352796,0.9989293432973602,0.02477635668611218,Random forest tuned
9,1.0,0.019893019967185767,0.025733584396332738,0.9969384759519598,0.0245221364331558,0.0497806445103823,0.989388041408681,-0.02404706011404956,Neural network
9,1.0,0.019893019967185767,0.025733584396332738,0.9969384759519598,0.0179929747023427,0.0305270590940354,0.9956916890127018,-0.004793474697702662,Neural network
9,1.0,0.019893019967185767,0.025733584396332738,0.9969384759519598,0.0086133920997363,0.0147743029352796,0.9989293432973602,0.010959281461053138,Random forest tuned
9,1.0,0.019893019967185767,0.025733584396332738,0.9969384759519598,0.0151335073267849,0.0214345896071141,0.9976319769762314,0.004298994789218639,Random forest tuned
8,1.0,0.02053441430981545,0.026746762694255573,0.9964910377992858,0.0493612870327139,0.0714918921030679,0.9792038593324452,-0.044745129408812326,Neural network
8,1.0,0.02053441430981545,0.026746762694255573,0.9964910377992858,0.0283110466231093,0.0439021468873986,0.992217902921046,-0.01715538419314303,Neural network
8,1.0,0.02053441430981545,0.026746762694255573,0.9964910377992858,0.0245221364331558,0.0497806445103823,0.989388041408681,-0.023033881816126724,Neural network
8,1.0,0.02053441430981545,0.026746762694255573,0.9964910377992858,0.0179929747023427,0.0305270590940354,0.9956916890127018,-0.0037802963997798263,Neural network
76,2.0,0.05557279121793433,0.0827732337988734,0.979633633357883,0.0140255412019977,0.0245012297315155,0.9980507962896052,0.0582720040673579,Random forest tuned
76,2.0,0.05557279121793433,0.0827732337988734,0.979633633357883,0.0196827152797536,0.0318907984231185,0.9965388169947124,0.0508824353757549,Random forest tuned
75,2.0,0.036723425565937766,0.05145444628691666,0.9918901609601866,0.0704169345898251,0.0842608255728966,0.974364427968865,-0.032806379285979945,Neural network
75,2.0,0.036723425565937766,0.05145444628691666,0.9918901609601866,0.0478131916721425,0.0681939631483977,0.9854338766186128,-0.016739516861481035,Neural network
75,2.0,0.036723425565937766,0.05145444628691666,0.9918901609601866,0.0346581107019261,0.0536428396519813,0.9914462366264492,-0.002188393365064642,Neural network
75,2.0,0.036723425565937766,0.05145444628691666,0.9918901609601866,0.0307856715999235,0.0558805014038688,0.990434955272882,-0.004426055116952141,Neural network
75,2.0,0.036723425565937766,0.05145444628691666,0.9918901609601866,0.0140255412019977,0.0245012297315155,0.9980507962896052,0.026953216555401158,Random forest tuned
75,2.0,0.036723425565937766,0.05145444628691666,0.9918901609601866,0.0196827152797536,0.0318907984231185,0.9965388169947124,0.01956364786379816,Random forest tuned
78,2.0,0.03301132101863095,0.043070050554411494,0.993302042988293,0.0140255412019977,0.0245012297315155,0.9980507962896052,0.018568820822895994,Random forest tuned
78,2.0,0.03301132101863095,0.043070050554411494,0.993302042988293,0.0196827152797536,0.0318907984231185,0.9965388169947124,0.011179252131292998,Random forest tuned
77,2.0,0.0226850344464866,0.029508136862842867,0.9972726824860308,0.0704169345898251,0.0842608255728966,0.974364427968865,-0.05475268871005373,Neural network
77,2.0,0.0226850344464866,0.029508136862842867,0.9972726824860308,0.0478131916721425,0.0681939631483977,0.9854338766186128,-0.03868582628555482,Neural network
77,2.0,0.0226850344464866,0.029508136862842867,0.9972726824860308,0.0346581107019261,0.0536428396519813,0.9914462366264492,-0.024134702789138433,Neural network
77,2.0,0.0226850344464866,0.029508136862842867,0.9972726824860308,0.0307856715999235,0.0558805014038688,0.990434955272882,-0.02637236454102593,Neural network
77,2.0,0.0226850344464866,0.029508136862842867,0.9972726824860308,0.0140255412019977,0.0245012297315155,0.9980507962896052,0.005006907131327367,Random forest tuned
77,2.0,0.0226850344464866,0.029508136862842867,0.9972726824860308,0.0196827152797536,0.0318907984231185,0.9965388169947124,-0.002382661560275629,Neural network
76,2.0,0.05557279121793433,0.0827732337988734,0.979633633357883,0.0307856715999235,0.0558805014038688,0.990434955272882,0.0268927323950046,Random forest tuned
76,2.0,0.05557279121793433,0.0827732337988734,0.979633633357883,0.0346581107019261,0.0536428396519813,0.9914462366264492,0.0291303941468921,Random forest tuned
76,2.0,0.05557279121793433,0.0827732337988734,0.979633633357883,0.0478131916721425,0.0681939631483977,0.9854338766186128,0.014579270650475706,Random forest tuned
76,2.0,0.05557279121793433,0.0827732337988734,0.979633633357883,0.0704169345898251,0.0842608255728966,0.974364427968865,-0.001487591774023203,Neural network
