fold,AoA,Mach,MAE,RMSE,R2,model
62,18.0,0.7,0.5566354593174823,0.6427710859145147,-0.01116729780547443,Mean baseline
63,18.0,0.72,0.5658151861224844,0.6492074922269737,-0.010869271494365673,Mean baseline
64,18.0,0.74,0.5765421936675361,0.657093052643865,-0.01029400801225333,Mean baseline
65,18.0,0.76,0.5892737243387466,0.666828720729493,-0.009368307786361996,Mean baseline
66,18.0,0.78,0.6051476255964688,0.6795774331871547,-0.00786391430130795,Mean baseline
67,19.0,0.68,0.5580213972151621,0.6447980744502914,-0.012568079670028043,Mean baseline
68,19.0,0.7,0.565905770761634,0.6506088129012452,-0.012430687240614358,Mean baseline
69,19.0,0.72,0.5754573288575283,0.6576234142910378,-0.012063376782265323,Mean baseline
70,19.0,0.74,0.5867724108959965,0.6661465079161869,-0.011389625460730413,Mean baseline
71,19.0,0.76,0.6002273134727892,0.6767094180948025,-0.010306281276406981,Mean baseline
72,19.0,0.78,0.615842178932981,0.6889676277437597,-0.008932436141906308,Mean baseline
73,2.0,0.68,0.4606803727804501,0.5446708428739333,-0.009629502208232,Mean baseline
74,2.0,0.7,0.47207468681028386,0.5568434816935642,-0.0068105207424600245,Mean baseline
75,2.0,0.72,0.4849932642874166,0.5726375521886158,-0.004444779248831798,Mean baseline
76,2.0,0.74,0.48920345497030776,0.5812687859168192,-0.00435608836101431,Mean baseline
77,2.0,0.76,0.475576787886661,0.5668741270472594,-0.006526919155221522,Mean baseline
78,2.0,0.78,0.43138009093509017,0.5296671177609127,-0.012972411722730337,Mean baseline
79,20.0,0.68,0.5705082139494407,0.6550512946224691,-0.012559220588834519,Mean baseline
80,20.0,0.7,0.578841591565446,0.6613095538970433,-0.012396874930969304,Mean baseline
81,20.0,0.72,0.5883908917019952,0.668683615761025,-0.012033168371167857,Mean baseline
82,20.0,0.74,0.5994904487046441,0.6774296413193388,-0.011401491429810173,Mean baseline
83,20.0,0.76,0.61293009046947,0.6877671159811141,-0.01046628888190626,Mean baseline
84,20.0,0.78,0.628909885857511,0.7003138412940618,-0.00909465009679744,Mean baseline
85,3.0,0.68,0.5871007533158803,0.689346776334675,-0.0019463248452569193,Mean baseline
86,3.0,0.7,0.5987808719968025,0.6993843580538174,-0.0028447461032545807,Mean baseline
87,3.0,0.72,0.6002438804075755,0.6996417541431112,-0.002509883280499725,Mean baseline
88,3.0,0.74,0.5771716212100455,0.671320059124303,-0.0010120700560558582,Mean baseline
89,3.0,0.76,0.5144232069859253,0.6121189576390618,-2.1093697933682876e-05,Mean baseline
90,3.0,0.78,0.45268353635079484,0.5564601564228994,-0.0023414650614062005,Mean baseline
91,4.0,0.68,0.7037052090839219,0.838610064738029,-0.017906037095224647,Mean baseline
92,4.0,0.7,0.702718973201062,0.8276951567203399,-0.01679642318253549,Mean baseline
93,4.0,0.72,0.677124039472893,0.7885856104315899,-0.01290148072456554,Mean baseline
94,4.0,0.74,0.6088382449535348,0.7173438027190044,-0.006977038048506801,Mean baseline
95,4.0,0.76,0.5339027081115671,0.6468326365157662,-0.0020981146340355306,Mean baseline
96,4.0,0.78,0.47729913108329897,0.5923219188394215,-6.794740212412442e-05,Mean baseline
97,5.0,0.68,0.7933181064717406,0.9523783833620095,-0.034598569521187006,Mean baseline
98,5.0,0.7,0.7621769262883874,0.9022145874177196,-0.029491308844119546,Mean baseline
99,5.0,0.72,0.6898315037532011,0.8203363150344868,-0.021065427097067158,Mean baseline
100,5.0,0.74,0.6103823410277313,0.7393794602031123,-0.012581422344819071,Mean baseline
101,5.0,0.76,0.5468498846254031,0.6749688513891164,-0.006208458291210972,Mean baseline
102,5.0,0.78,0.5032323956531716,0.6255082872880647,-0.0022572821912916208,Mean baseline
103,6.0,0.68,0.8326517060404899,1.009459580969867,-0.045596956870335825,Mean baseline
104,6.0,0.7,0.7540315538378014,0.9165919886369934,-0.03564054867957256,Mean baseline
105,6.0,0.72,0.672006599059042,0.8253373761894134,-0.024803172865125678,Mean baseline
106,6.0,0.74,0.6080919251103314,0.753175472011466,-0.01618594612615709,Mean baseline
