fold,AoA,Mach,MAE,RMSE,R2,model
36,13.0,0.78,0.36952458198051974,0.5030140783593388,0.42433229141681994,Linear regression
37,14.0,0.68,0.344984711102873,0.4812461699270492,0.39513102609795214,Linear regression
38,14.0,0.7,0.34299330956481083,0.4766629033192996,0.4097370730884571,Linear regression
39,14.0,0.72,0.342705203323234,0.47440957030362424,0.42316143475691803,Linear regression
40,14.0,0.74,0.34535080998970685,0.4766175329644484,0.43375560187083384,Linear regression
41,14.0,0.76,0.3498049142515029,0.48128678384889895,0.44335675506161065,Linear regression
42,14.0,0.78,0.3563838258665899,0.4888961358757734,0.4517839074358482,Linear regression
43,15.0,0.68,0.3340179591899159,0.4680172478407485,0.42829937703875254,Linear regression
44,15.0,0.7,0.33272923701537754,0.4642501858111481,0.4418410154460529,Linear regression
45,15.0,0.72,0.33253393646099205,0.46245408138590893,0.45434353998590227,Linear regression
46,15.0,0.74,0.3336318488901909,0.4626873719747962,0.465846466647726,Linear regression
47,15.0,0.76,0.3375673536142736,0.4667419630204352,0.4748006675026083,Linear regression
48,15.0,0.78,0.3444814376223166,0.4746424907973407,0.48159820661157227,Linear regression
49,16.0,0.68,0.32590945620435446,0.45817658144665613,0.455882972680953,Linear regression
50,16.0,0.7,0.32541852657771764,0.455325990242661,0.4682632888472664,Linear regression
51,16.0,0.72,0.3258946725379135,0.4540987226092925,0.4797437340215457,Linear regression
52,16.0,0.74,0.3275141321908077,0.45454282413984387,0.490392575727981,Linear regression
53,16.0,0.76,0.33117031667060665,0.45823927400631237,0.49865785388920214,Linear regression
54,16.0,0.78,0.3363021035614427,0.46338267833205954,0.5067234515171809,Linear regression
55,17.0,0.68,0.3193045628291314,0.4499827132790759,0.48671131048338623,Linear regression
56,17.0,0.7,0.3202722742071436,0.4488418545257057,0.49659232211380644,Linear regression
57,17.0,0.72,0.3222688331766364,0.44931510952348047,0.5054427278749298,Linear regression
58,17.0,0.74,0.3255842171735541,0.45179266879259566,0.5129175485147337,Linear regression
59,17.0,0.76,0.3299819057810574,0.4552178194283785,0.5202958578343433,Linear regression
60,17.0,0.78,0.3362594488306175,0.46049172603895433,0.526892491077765,Linear regression
61,18.0,0.68,0.31698592916693313,0.44558916867751636,0.506166225335736,Linear regression
62,18.0,0.7,0.3185262860474312,0.4454713876024989,0.514320267966508,Linear regression
63,18.0,0.72,0.3209100078386593,0.44646254203448055,0.5219228310808041,Linear regression
64,18.0,0.74,0.3247794399295087,0.44870610522998966,0.5288947069871373,Linear regression
65,18.0,0.76,0.33032342839344725,0.4526477688234124,0.5349048199099864,Linear regression
66,18.0,0.78,0.3386557863338206,0.4598795974969365,0.5384568778376522,Linear regression
67,19.0,0.68,0.3175359575068593,0.44236034060597557,0.5234273266161908,Linear regression
68,19.0,0.7,0.3204615259249633,0.44345299161747215,0.5296505993506406,Linear regression
69,19.0,0.72,0.3243302103404173,0.44561623257294647,0.5352973174837741,Linear regression
70,19.0,0.74,0.32955089025206763,0.449278553004711,0.5399443612512058,Linear regression
71,19.0,0.76,0.33683773487506447,0.45515184762297917,0.5429526117874814,Linear regression
72,19.0,0.78,0.3466148242841422,0.46247488047123847,0.5453881527671232,Linear regression
73,2.0,0.68,0.3548314033673554,0.4458852993821827,0.3233873923339098,Linear regression
74,2.0,0.7,0.3541074770605633,0.44721964840915257,0.3505836532171015,Linear regression
75,2.0,0.72,0.3609096579544772,0.44909347633067187,0.382211372436275,Linear regression
76,2.0,0.74,0.36456333599960694,0.45222430349438114,0.39208688949232984,Linear regression
77,2.0,0.76,0.3481658832148966,0.4502417728605333,0.3650439072728757,Linear regression
78,2.0,0.78,0.3196365234181833,0.45327351866436116,0.25815651440379694,Linear regression
79,20.0,0.68,0.32483286194174205,0.44574085406225367,0.5311491627151741,Linear regression
80,20.0,0.7,0.3293415306236546,0.44785838363100894,0.5356744106277322,Linear regression
81,20.0,0.72,0.33512675856643376,0.451030118123775,0.5395690926141261,Linear regression
82,20.0,0.74,0.34276239304479716,0.4556068969963003,0.542516138399489,Linear regression
83,20.0,0.76,0.35360615940091567,0.46183979419787774,0.5443601326509889,Linear regression
84,20.0,0.78,0.36811590989529414,0.4706153794803218,0.5443003291707462,Linear regression
85,3.0,0.68,0.43152312830577544,0.5339858532469415,0.39878686304020317,Linear regression
86,3.0,0.7,0.44778827917848396,0.527920628030013,0.4286014451127358,Linear regression
87,3.0,0.72,0.4486082062466075,0.5155982611395247,0.45554735635837384,Linear regression
88,3.0,0.74,0.4209080149528272,0.4905125950576453,0.46558284263049277,Linear regression
89,3.0,0.76,0.3739781873348767,0.46052184677955565,0.4339719208603885,Linear regression
90,3.0,0.78,0.33546205677914537,0.449506285972815,0.3459377433436768,Linear regression
91,4.0,0.68,0.5425369351837985,0.6418334313264732,0.40374474659705883,Linear regression
92,4.0,0.7,0.5363993261142266,0.615254266987764,0.43817320152742256,Linear regression
93,4.0,0.72,0.5026940064466401,0.5726341110501058,0.4658983256863203,Linear regression
94,4.0,0.74,0.4479562970964712,0.5189833123922134,0.4729259273926918,Linear regression
95,4.0,0.76,0.39735284290682404,0.47963525636412624,0.44900381196744954,Linear regression
96,4.0,0.78,0.3575759681056147,0.46040763216640546,0.39577466824922913,Linear regression
97,5.0,0.68,0.6172356620291608,0.7285729091992894,0.3945213247070696,Linear regression
98,5.0,0.7,0.5789163686060231,0.6716104839303504,0.42952327660223055,Linear regression
99,5.0,0.72,0.51832416792607,0.600620604648758,0.4526436635660688,Linear regression
100,5.0,0.74,0.461866042020124,0.541568548975045,0.4567470891566149,Linear regression
101,5.0,0.76,0.41668027096838584,0.5017653899336186,0.4439396807651427,Linear regression
102,5.0,0.78,0.3828821943059557,0.4777655018437572,0.41528712195999773,Linear regression
103,6.0,0.68,0.6459524707140906,0.7778315781761154,0.37919160241611605,Linear regression
104,6.0,0.7,0.5817553666766293,0.6932122792124014,0.40763495115583637,Linear regression
105,6.0,0.72,0.5206491702133126,0.6179309245736172,0.42554330442502275,Linear regression
106,6.0,0.74,0.47274679253807633,0.5629343282450956,0.43232951560078403,Linear regression
107,6.0,0.76,0.43627252163226826,0.5238061938942666,0.42922517656785775,Linear regression
108,6.0,0.78,0.40650836724238304,0.4970668728994863,0.4177903025038675,Linear regression
109,7.0,0.68,0.6272723235972348,0.7830243324556316,0.3563193563144106,Linear regression
110,7.0,0.7,0.565465230010231,0.7003346790295564,0.37976442748917294,Linear regression
111,7.0,0.72,0.5186604280029069,0.6325524337238445,0.3938429976476734,Linear regression
112,7.0,0.74,0.4819264249792938,0.5820203530426089,0.40453614064230825,Linear regression
113,7.0,0.76,0.45243511581819157,0.5443048016215375,0.40993407589384856,Linear regression
114,7.0,0.78,0.4266421800798936,0.516523492168577,0.413636645673066,Linear regression
115,8.0,0.68,0.5894428002950373,0.7577568276676155,0.3226335380236143,Linear regression
116,8.0,0.7,0.54406426905867,0.6944538989240372,0.3418258854183478,Linear regression
117,8.0,0.72,0.5099398775621798,0.6402373050470197,0.3634351641811623,Linear regression
118,8.0,0.74,0.48547946112699414,0.5975714491575259,0.3781227780751216,Linear regression
119,8.0,0.76,0.46331487034947,0.5632347952087121,0.3914873263628076,Linear regression
120,8.0,0.78,0.44255268306713685,0.5354002217915693,0.40383644188725154,Linear regression
121,9.0,0.68,0.5343851678479035,0.7098843145385192,0.29698087460639533,Linear regression
122,9.0,0.7,0.506302667931802,0.6679255668593305,0.3194996058558395,Linear regression
123,9.0,0.72,0.4853972670474127,0.6316286812410578,0.33711896697983634,Linear regression
124,9.0,0.74,0.47098144135461295,0.6010307333265086,0.35442303859670743,Linear regression
125,9.0,0.76,0.46194314391891145,0.5751750773201438,0.3727530913536812,Linear regression
126,9.0,0.78,0.45186242022980894,0.5530424079177351,0.3948463216986806,Linear regression
1,0.0,0.68,0.4060769203051586,0.48029499108439644,-0.5549800591004739,Polynomial ridge d2
2,0.0,0.7,0.3964101885407127,0.4680584204338788,-0.4059514015660952,Polynomial ridge d2
