"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
805, 4.480717480182650e-001, -5.388031527400020e-002, 3.594695609483936e-001, 0.000000000000000e+000, 0.000000000000000e+000, 8.116265490015353e+004, 0.000000000000000e+000, 3.246506196006140e+004, 3.146186477836447e+002, 0.000000000000000e+000, -4.376838643662638e-001, 1.914283113504585e-005, 3.336042815458705e-003, 2.626594323069702e-004, -3.812379102797291e+002, 2.424742636354656e+000, 0.000000000000000e+000
831, 4.301885962486270e-001, -5.517242103815080e-002, 3.529352450232350e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.964507993104764e+004, 0.000000000000000e+000, 3.185803197241905e+004, 3.144519257790068e+002, 0.000000000000000e+000, -4.797621961666466e-001, 1.913512309418953e-005, 3.519750082992573e-003, 2.310265523743094e-004, -4.423025122429906e+002, 2.467009516571324e+000, 0.000000000000000e+000
857, 4.122794568538670e-001, -5.622962117195130e-002, 3.469269834138597e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.825494555633291e+004, 0.000000000000000e+000, 3.130197822253316e+004, 3.143142350971651e+002, 0.000000000000000e+000, -5.183069380457426e-001, 1.912875573539567e-005, 3.691381005174676e-003, 1.919157038134631e-004, -5.097107710630179e+002, 2.504422087728027e+000, 0.000000000000000e+000
883, 3.944020271301270e-001, -5.703297257423400e-002, 3.426826799462064e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.726725057872589e+004, 0.000000000000000e+000, 3.090690023149034e+004, 3.141909279293639e+002, 0.000000000000000e+000, -5.456931020451442e-001, 1.912305235912932e-005, 3.863512038074339e-003, 1.422958723642980e-004, -5.783480497458837e+002, 2.545677706637115e+000, 0.000000000000000e+000
909, 3.766198158264160e-001, -5.754299089312550e-002, 3.407109961709255e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.679750812006507e+004, 0.000000000000000e+000, 3.071900324802602e+004, 3.140879788405403e+002, 0.000000000000000e+000, -5.587178154455654e-001, 1.911828976774574e-005, 4.017701397057783e-003, 8.576763140710100e-005, -6.348241113110440e+002, 2.588203736699193e+000, 0.000000000000000e+000
935, 3.590588271617890e-001, -5.778745934367180e-002, 3.409379895311282e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.683098764116604e+004, 0.000000000000000e+000, 3.073239505646641e+004, 3.140156960180404e+002, 0.000000000000000e+000, -5.577895170576218e-001, 1.911494538746453e-005, 4.139667581578224e-003, 2.655302537073246e-005, -6.720416415454345e+002, 2.628572210168250e+000, 0.000000000000000e+000
961, 3.418258726596830e-001, -5.776616930961610e-002, 3.426271536681204e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.720536573401641e+004, 0.000000000000000e+000, 3.088214629360656e+004, 3.139901634127442e+002, 0.000000000000000e+000, -5.474090047729244e-001, 1.911376395463807e-005, 4.216191509098846e-003, -2.969271050566730e-005, -6.897306709301332e+002, 2.659489591396155e+000, 0.000000000000000e+000
987, 3.249974250793460e-001, -5.754758045077320e-002, 3.452611135424314e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.780328346109450e+004, 0.000000000000000e+000, 3.112131338443780e+004, 3.140079150348126e+002, 0.000000000000000e+000, -5.308303308876102e-001, 1.911458535444871e-005, 4.252571617919506e-003, -8.117686023233882e-005, -6.937311254718833e+002, 2.680816671071484e+000, 0.000000000000000e+000
1013, 3.086399734020230e-001, -5.713268741965290e-002, 3.487758509159640e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.860552497614933e+004, 0.000000000000000e+000, 3.144220999045972e+004, 3.140487016128330e+002, 0.000000000000000e+000, -5.085862998896509e-001, 1.911647253679513e-005, 4.266558087823413e-003, -1.302614958501320e-004, -6.890611394337493e+002, 2.698764487218885e+000, 0.000000000000000e+000
1039, 2.927811741828920e-001, -5.656399205327030e-002, 3.522691323608197e-001, 0.000000000000000e+000, 0.000000000000000e+000, 7.941079107351523e+004, 0.000000000000000e+000, 3.176431642940608e+004, 3.141197689235563e+002, 0.000000000000000e+000, -4.862584052403836e-001, 1.911976051055164e-005, 4.245831735537502e-003, -1.704897412605561e-004, -6.761991974661996e+002, 2.705747823121979e+000, 0.000000000000000e+000
